Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
13.500,18.258,28.733,38.684,45421.269,1020.477,20.418,3.93,3.93,75.31,67.86,5.314,8.14,5.325,5.325,
13.600,18.000,29.242,39.078,46192.467,1020.927,20.868,4.16,4.16,94.46,68.40,5.373,8.15,5.384,5.384,
13.700,17.944,29.405,39.226,46434.276,1021.065,21.006,4.30,4.30,100.66,78.82,6.198,8.15,6.210,6.210,
13.800,17.913,29.492,39.304,46563.977,1021.140,21.080,4.33,4.33,105.29,78.50,6.180,8.14,6.192,6.192,
13.900,17.877,29.590,39.390,46708.945,1021.223,21.163,4.52,4.52,115.15,76.10,5.999,8.14,6.010,6.010,
14.000,17.870,29.669,39.478,46822.233,1021.285,21.225,4.62,4.62,119.06,75.04,5.914,8.15,5.925,5.925,
14.100,17.862,29.724,39.537,46902.699,1021.330,21.269,4.79,4.79,122.16,69.74,5.497,8.15,5.507,5.507,
14.200,17.858,29.734,39.545,46917.441,1021.339,21.278,4.85,4.85,124.72,69.89,5.511,8.14,5.521,5.521,
14.300,17.852,29.749,39.558,46940.307,1021.353,21.291,4.93,4.93,127.65,81.69,6.447,8.15,6.459,6.459,
14.400,17.847,29.739,39.542,46925.814,1021.346,21.283,4.94,4.94,127.76,67.13,5.300,8.15,5.309,5.309,
14.500,17.847,29.754,39.560,46947.895,1021.358,21.295,5.02,5.02,128.60,77.36,6.109,8.15,6.120,6.120,
14.600,17.846,29.758,39.564,46953.789,1021.362,21.299,4.96,4.96,130.90,73.17,5.781,8.15,5.791,5.791,
14.700,17.846,29.757,39.562,46952.469,1021.362,21.298,4.83,4.83,131.71,72.98,5.765,8.15,5.775,5.775,
14.800,17.844,29.760,39.565,46956.980,1021.365,21.301,4.85,4.85,133.54,74.86,5.912,8.15,5.923,5.923,
14.900,17.844,29.770,39.577,46971.330,1021.373,21.308,5.02,5.02,133.88,78.49,6.199,8.15,6.211,6.211,
15.000,17.845,29.766,39.573,46965.362,1021.370,21.305,5.00,5.00,133.70,77.41,6.115,8.14,6.127,6.127,
15.100,17.845,29.766,39.572,46965.029,1021.370,21.305,5.01,5.01,133.47,82.85,6.546,8.16,6.558,6.558,
15.200,17.846,29.771,39.579,46972.254,1021.374,21.309,4.90,4.90,133.03,73.41,5.801,8.15,5.811,5.811,
15.300,17.844,29.779,39.587,46984.124,1021.382,21.315,4.94,4.94,134.27,79.38,6.272,8.14,6.283,6.283,
15.400,17.843,29.770,39.576,46972.495,1021.376,21.309,4.96,4.96,134.27,81.93,6.471,8.16,6.483,6.483,
15.500,17.843,29.775,39.582,46979.265,1021.380,21.313,5.04,5.04,135.13,85.00,6.714,8.15,6.726,6.726,
15.600,17.843,29.781,39.589,46987.952,1021.385,21.317,5.09,5.09,136.88,80.08,6.326,8.15,6.338,6.338,
15.700,17.842,29.780,39.588,46986.684,1021.385,21.317,5.13,5.13,137.83,85.68,6.768,8.15,6.781,6.781,
15.800,17.840,29.782,39.588,46989.777,1021.387,21.318,5.19,5.19,139.14,79.28,6.262,8.15,6.274,6.274,
15.900,17.839,29.788,39.594,46998.323,1021.392,21.323,5.22,5.22,141.72,69.85,5.517,8.15,5.528,5.527,
16.000,17.838,29.789,39.594,46999.827,1021.394,21.324,5.21,5.21,142.90,73.31,5.790,8.14,5.801,5.801,
16.100,17.839,29.787,39.592,46996.446,1021.392,21.322,5.27,5.27,143.08,70.02,5.531,8.15,5.541,5.541,
16.200,17.839,29.790,39.597,47001.715,1021.395,21.325,5.23,5.23,143.79,71.39,5.640,8.15,5.650,5.650,
16.300,17.839,29.789,39.596,46999.788,1021.395,21.324,5.25,5.25,143.26,71.17,5.624,8.15,5.634,5.634,
16.400,17.839,29.785,39.591,46994.712,1021.392,21.321,5.14,5.14,142.36,70.96,5.606,8.14,5.617,5.617,
16.500,17.840,29.785,39.591,46993.761,1021.392,21.320,5.21,5.21,142.57,68.20,5.389,8.14,5.399,5.399,
16.600,17.840,29.789,39.597,46999.459,1021.396,21.324,5.21,5.21,143.56,70.08,5.538,8.15,5.548,5.548,
16.700,17.841,29.785,39.592,46993.700,1021.393,21.320,5.12,5.12,142.59,78.61,6.210,8.15,6.222,6.222,
